Curso,"Categoría
Local, Autonómica, Nacional, Universidad",CCAA,Provincia,Localidad,Convocante,Plazas,Boletín,Publicación,"Instancias
00/00/00-00/00/00","Tipo
Oposición/Concurso-Oposición/Bolsa","¿Bolsa?
SI/NO",ID,Material,Activa/inactiva,"Simulacro
SI/NO ",Fecha simulacro,Inscritos,Enlace general sgto,"Sgto especial
SI/NO",Fecha última revisión,Estado,"Listas provisionales
Fecha",LP publicadas en,LP enlace si hay,"Listas definitivas
Fecha",LD publicadas en,LD enlace si hay,Tipo ejercicio 1,Fecha ejercicio 1,Listas aprobados,Enlace si hay,Aprobados,Tipo ejercicio 2,Fecha ejercicio 2,Listas aprobados,Enlace si hay,Aprobados,Tipo ejercicio 3,Fecha ejercicio 3,Listas aprobados,Enlace si hay,Aprobados,Tipo ejercicio 4,Fecha ejercicio 4,Listas aprobados,Enlace si hay,Aprobados,Entran en bolsa,Obtiene plaza
OINT/OEDU/TBS,Autonómica,Madrid,Madrid,,"C.Madrid Técnico Auxiliar Grupo IV, Nivel 3, Área C",276 (249 y luego se amplían),BOCM nº 264 de 05/11/2021,BOCM nº 264 de 05/11/2021,8/11/2012-3/12/2021,concurso oposición,si,75652,,,,,8,https://www.comunidad.madrid/servicios/empleo/tecnico-auxiliar-area-c-estabilizacion,,13/6/2024,Sorteo empates puntuación final / Puntuación definitiva fase concurso 24/04/2024 / Nueva apertura fase concurso /Aprobados fase opo y plazo méritos / Plantilla examen extra 14 julio / Plantilla 1º examen 03/06/2023,14/3/2023,boletín,https://www.bocm.es/boletin/CM_Orden_BOCM/2023/03/14/BOCM-20230314-9.PDF,5/5/2023,boletín,https://www.bocm.es/boletin/CM_Orden_BOCM/2023/05/19/BOCM-20230519-13.PDF,único,3/6/2023,2/10/2023,,5,,,,,,,,,,,,,,,,,
TBS,Local,Andalucía,Granada,Granada,Diputación de Granada,8 (6 turno libre),BOE 18/01/2022,BOE 18/01/2022,19/01/2022-15/02/2022,concurso oposición,,77412,M136701 ,,,,,https://dipgra.convoca.online/processDetail.html?id=58c102d2-7574-4278-05b9-08d9d036485d&type=0,,7/5/2024,LD / LP (de BOP 19/07/2022) /convocatoria,18/7/2022,web,,4/7/2023,web,,,,,,,,,,,,,,,,,,,,,,,
TSS,Autonómica,País Vasco,,,Osakidetza,13,BOPV nº 249 de 15/12/2021,BOPV nº 249 de 15/12/2021,24/01/2022-24/02/2022,concurso oposición,,76616,M028860,,,2018-2019,70,https://hh-sp.osakidetza.eus/B96/home_usuario.xhtml,https://hh-sp.osakidetza.eus/B96/aviso_detalle_pub.xhtml,14/5/2024,"Están aprobados fase opo de otras categorías, TBS aún no / CALIFICACIONES DE Euskera examen oral (no acceso a fecha, publicado 02/12) /Euskera ex. escrito 05/11/2022 y ex.oral en diciembre / Plazo méritos y Aprobados fase opo con código 09/08/2022 / Plantilla 1º examen /LD / Examen 02/07/2022 / LP / Sorteo elección tribunales /Convocatoria",13/4/2022,,,16/6/2022,,,único,2/7/2022,7/7/2022,,26,NA,,,,,NA,,,,,NA,,,,,,
TBS,Local,C. Valenciana,Valencia,Cullera,Ayuntamiento,0,BOP 17/03/2022,Web Ayto.,18/03/2022-31/03/2022,concurso oposición,,79100,M143166,,no,,,https://cullera.sedipualba.es/tablondeanuncios/anuncio.aspx?id=33216,https://cullera.sedipualba.es/tablondeanuncios/,14/6/2024,convocatoria,,,,,,,Test,,,,,Caso práctico,,,,,,,,,,,,,,,,
TBS,Autonómica,Aragón,,,Gobierno Aragón,13,BOA 28/12/2021,BOA 28/12/2021,01/02/2022-08/04/2022,oposición,,79535,M077540(02),,no,,,https://www.aragon.es/-/trabajadores-sociales.-a2.-oferta-empleo-publico-2018-y-oferta-empleo-publico-de-2020,,7/5/2024,convocatoria,,,,,,,Test,,,,,Desarrollo,,,,,Caso práctico,,,,,,,,,,,
TBS,Autonómica,Canarias,,Cabildo insular de Canarias,Cabildo,0,BOP 08/08/2022,BOP 08/08/2022,09/08/2022.23/08/2022,Oposición,si,82118,M157020,Inactiva,no,,10,https://cabildo.grancanaria.com/ciu/empleo-publico?articleId=303976,,10/5/2024,Notas finales / Notas provisionales del teórico y del práctico del examen  08/05/2023,,,,,,,Test 1º ejerc.,8/5/2023,,,1,práctico 2º ejer.,8/5/2023,,,1,NA,,,,,NA,,,,,1,NA
TBS,Autonómica,C. Valenciana,,,Comunidad Valenciana,6,DOGC 20/12/2022,DOGC 20/12/2022,21/12/2022-18/01/2023,concurso-oposición,no,86656,M087040(02),,no,,,https://www.gva.es/es/inicio/atencion_ciudadano/buscadores/busc_empleo_publico/detalle_oposiciones?id_emp=87085&version=amp&id_etapaActual=71272,,3/6/2024,Plantilla / LD y examen 20/04/2024 / Modificacón tirbunal /  Nombramiento tribunal / LP,1/8/2023,boletín,https://dogv.gva.es/datos/2023/08/01/pdf/2023_8479.pdf,3/4/2024,boletín,https://dogv.gva.es/datos/2024/04/03/pdf/2024_2697.pdf,,20/4/2024,,,,,,,,,,,,,,,,,,,,
TBS,Local,Andalucía,Granada,Granada, Ayuntamiento Granada,4,BOE 13/12/2022,BOE 13/12/2022,14/12/2022-02/01/2023,concurso-oposición,si,86142,M170382,,no,,,www.granada.org/inet/personal.nsf/vwactivospub/A6918A154FF5FBCDC12587A40038FA5E,https://www.granada.org/inet/personal.nsf/empubyrrhh.htm,8/5/2024,convocatoria / previsión examen 21/09/2024,,,,,,,Test,21/9/2024,,,,,,,,,,,,,,,,,,,,
TSS,Autonómica,Baleares,,,IB-SALUT,11,BOIB 20/12/2022,BOIB 20/12/2022,21/12/2022-20/01/2023,concurso-oposición,no,86779,M172240,,no,,1,https://www.ibsalut.es/es/profesionales/recursos-humanos/trabaja-con-nosotros/oposiciones/oposiciones?conv_id=516,https://www.caib.es/seucaib/es/tramites/tramite/5255777,13/5/2024,Lista prov. méritos / Notas EXAMEN 04/06/2023,21/3/2023,web,"https://www.ibsalut.es/es/component/easyfolderlistingpro/?view=download&format=raw&data=eNplUMtOwzAQ_JXIH4CdlFJwTxy4IQSCe-TG22Ylx2utnRKE-HfsPMSB285jd8Y2uq71d9R3WpzJWWBxzOBBC2mpi5K57yWj78hToIiJWL4ydRApyqd32aimUYdm334wnIxzxhK3iaHtX1i9PZZj-b4YI_ByPs6UFmqTLiPE9Bd90KJtZ66g-2XVmwEKVFrM9RYWrTiiVssSgwsm9UXeZ13ubqpnjMlUFipjB0xoKVZfFUydG8ucHfVqCUxXjEjeuDX0jA620Drjf76qKDstYErrFOx57Q9TQIa4latza5OS6foBfHafZjb_cGC4XCJ8Lu--1cKTz4E_v1orgps,",13/4/2023,boletín,"https://www.ibsalut.es/es/component/easyfolderlistingpro/?view=download&format=raw&data=eNpdUE1PxSAQ_CuEHyC0z_qUd_LgzRiN3hte2comFJqFPmuM_13ohybedmdmZwa0qir1FdWN4n1wBoif8nKnuDChi4LIWkHou-DDGFwipkDimUIHMUTx8CpqWdfyWDftG8FZO6dNoDYRtPaJ5Mt9Mcv-fIpAq31cXCDF5U69TxDTX_RR8bZdsLLdrqdeD1BWqfhSb0XR8BMquR4RuFFcJ1vopsntD1fsEWPSzFww02bAhCZE9slg7txU5qyofyU9-qy46C2zRwd7ZpXN_8tYIQ6Kw5y2aTT91h7mEQniXq3KnXVKurMD-Kw-L2j-35HggvCxvvpacR98zvv-ARgsgXQ,",único,4/6/2023,13/6/2023,,1,NA,,,,,NA,,,,,NA,,,,,,
TSS,Autonómica,Castilla y León,,,SACYL,37,BOCYL 28/12/2022,BOCYL 28/12/2022,29/01/2022-26/01/2023,concurso-oposición,no,87204,M171561,,si,,,https://www.saludcastillayleon.es/profesionales/es/procesos_selectivos/proceso-excepcional-estabilizacion-ley-20-2021-28-diciembre/personal-gestion-servicios/trabajador-social-concurso-oposicion,,7/5/2024,convocatoria,,,,,,,Test,,,,,,,,,,,,,,,,,,,,,
TBI,Autonómica,Cataluña,,,Ejecución penal,15,"DOGC, nº 8816 de 20/12/2022",,21/12/2022 - 20/01/2023,concurso-oposición,,87232,,,,*LLAMAR ALUMNOS,,https://administraciopublica.gencat.cat/ca/treballar-a-la-generalitat/estabilitzacio-de-locupacio-temporal/concurs-oposicio/,,20/2/2024,Valoración porv. Méritos / Resultados fase opo / Examen extra para 1 el 29/09 / Cuestinario y plantilla examen  / Responsabilidad patrimonial por el examen del 29/04/ LD y examen 29/04/2023,15/2/2023,boletín,https://dogc.gencat.cat/ca/document-del-dogc/?documentId=952529,,https://dogc.gencat.cat/ca/document-del-dogc/?documentId=957155,,examen,1/7/2023,,,,,,,,,,,,,,,,,,,,
TSS,Autonómica,Murcia,Murcia,,Gob. Murcia,17,BORM de 22/12/2022,BORM de 22/12/2022,5/1/2023,concurso-oposición,no,86787,M171000,,,,4,www.murciasalud.es/web/recursos-humanos-y-empleo/visualizacion-oposiciones/-/categories/4565561/?p_r_p_categoryId=4565561&p_r_p_categoryId1=4565749,,8/5/2024,Presentación méritos y Notas defin. Único  examen 19/11/2023,4/7/2023,boletín,,13/9/2023,boletín,https://www.murciasalud.es/documents/153065/0/Resol+defi.+adm.+y+exclu+DNS+Trabajo+social.pdf/8e615d41-7ed6-2980-5fa7-c76fa0a58292?t=1694593576185,test,19/11/2023,,,1,NA,,,,,NA,,,,,NA,,,,,,
TBS,Local,Canarias,Tenerife,Telde,Ayuntamiento de Telde,9,BOE 31/12/2022,BOE 31/12/2022,03/01/2023-31/01/2023,concurso-oposición,si,87276,M175200,,,,,https://www.telde.es/ayuntamiento/empleo-publico/proceso-selectivo-para-la-cobertura-de-nueve-plazas-de-trabajador-social/ ,,10/6/2024,Convocatoria,,,,,,,Test parte gweneral,,,,,Desarrollo específico,,,,,Caso práctico,,,,,,,,,,,
TBS,Autonómica,Castilla y León,,,Junta de Castilla y León,6,BOCYL 9/01/2023,BOCYL 29/12/2022,23/01 - 17/02/2023,Concurso-oposición,,87637,M175240,,,,4,https://empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1277227614255/_/1285345441847/Empleo,,18/6/2024,Resultados examen opo 03/03/2024 /BOLSA DE PREGUNTAS AQUÍ https://empleopUblico.jcyl.eS,,,,,,,único ,3/3/2024,,,0,NA,,,,,NA,,,,,NA,,,,,,0
TBS,Autonómica,Galicia,,,Xunta Galicia,5,DOG 27/12/2022,DOG 27/12/2022,16/01/2023-17/02/2023,concurso-oposición,no,87199,M179220,,no,,4,http://www.xunta.es/rcp/listas/rcp_opo/opo_novas.jsp?rcpNUM_ORDEN=101&lang=gl,http://www.xunta.es/dxfp/Xenericos/2023/CALENDARIO_examenes_actualizado_19092023.pdf,26/3/2024,notas 1º EXAMEN 27/01/2024 (dos partes),28/6/2023,,http://www.xunta.es/dxfp/Funcionarios/2022e/con-opo/a2/208E/208E_Lista_prov_A2_Traballo_Social_CO.pdf,6/9/2023,boletín,https://www.xunta.gal/dog/Publicados/2023/20230906/AnuncioG0597-300823-0002_gl.html,Test,27/1/2024,13/3/2024,http://www.xunta.es/rcp/listas/rcp_opo/opo_visor_novas.jsp?urlAcceso=118G73G126O118H108U105I122U120I62A123O109O121O121J117P120Z63C52X52T124C124F124N51B125Q122B115I121Y102V51I108A102J113Z52W105U125R107V117T52I75I122X115N104H110J116Q115X102T119I110H116K120D52Q55M53G55M55C52W72O116H115V104T122U119D120D116J100X84B117Q116C120F110S104K110N116D115T52N55K53J62S82U52P85E122T115F121P122C102T104A110Y116Q115C120G74A125A54V83O116Q121V102D100H55X53Y62E82R51H117X105R107Q116E116K111U112G116X122D95G115E123Q53R&controlAcceso=122O120D112F127Q102B57G91Y110Q108G121Q55S59V53Y56Q55S53I55Y57T104S89N118Z104W114R105I106X122K54D124H,0,Desarrollo,,,,,,,,,,,,,,,,
TBS,Local,Cataluña,Barcelona,Hospitalet de Llobregat,Ayuntamiento de Hsopitalet de Llobregat,16,DOGC 20/01/2023,DOGC 20/01/2023,23/01/2023-17/02/2023,Concurso-oposición,si,88454,M179260,,no,NOTAS CON CÓDIGO /Notas 1º y 2º  ex. Código,5,https://seuelectronica2.l-h.cat/siac/PublicacionTabs.aspx?tab=7&id=2147&t=PS&x=QD4BeVOid9+NJlgznGNWXg,https://seuelectronica2.l-h.cat/siac/Publicaciones.aspx?t=PS&lang=ca-ES,14/5/2024,Notas 2º examen 27/02/2024 / Notas  EXAMEN teórico 20/12/2023,25/4/2023,web,https://seuelectronica2.l-h.cat/siac/Publicacion_ver_doc.aspx?coddoc=SPE17I019F&id=2147,12/096/2023,web,https://seuelectronica2.l-h.cat/siac/Publicacion_ver_doc.aspx?coddoc=SPE17I02O4&id=2147,teórico,20/12/2023,12/1/2024,https://seuelectronica2.l-h.cat/siac/Publicacion_ver_doc.aspx?coddoc=SPE18I00GQ&id=2147,2,práctico,27/2/2024,7/5/2024,https://seuelectronica2.l-h.cat/siac/Publicacion_ver_doc.aspx?coddoc=SPE18I01FN&id=2147,2,NA,,,,,NA,,,,,,
TBS,Local,Castilla La Mancha,Ciudad Real,Ciudad Real,Ayuntamiento de Ciudad Real,6,BOP de 29/12/2022,BOE nº 08 de 10/01/2023,11/01/2023 - 07/02/2023,concurso-oposición,,87673,M176300,,,,,https://www.ciudadreal.es/ayuntamiento/ofertas-de-empleo/57-ofertas-de-empleo/empleo-publico/20343-oferta-extraordinaria-de-empleo-publico-para-la-estabilizacion-de-empleo-temporal.html,,3/6/2024,LP,13/4/2023,boletín,https://www.ciudadreal.es/documentos/Empleo/estabilizacion/Lista_provisional_admitidos_y_excluidos_dos_plazas_de_trabajadores_sociales.pdf,,,,test,,,,,caso práctico,,,,,,,,,,,,,,,,
TSS,Autonómica,Aragón,,,SALUD-DGA,3,BOA 29/12/2022,BOA 329/12/2022,09/01/2023-27/01/2023,concurso-oposición,no,89151,M179940,,,,,https://www.aragon.es/-/trabajadores-sociales.-procesos-selectivos-de-estabilizacion.-ley-20/2021.-servicio-aragones-de-salud,,13/5/2024,Plantilla examen 28/04/2024,13/11/2023,boletín,,,,,Test,28/4/2024,,,,,,,,,,,,,,,,,,,,
TSS,Autonómica,País Vasco,,,OsaKidetza,24,BOPV 27/12/2022,BOPV 27/12/2022,21/02/2023-20/03/2023,concurso-oposición,,87546,M028860,,,RESULTADOS,39,https://www.osakidetza.euskadi.eus/profesionales/-/oferta-publica-de-empleo-ope-2020-21-22-estabilizacion/,,14/5/2024,"/__/ 20/02/2024 Resultados examen 15/07/2023 a consultar por alumnos ahora, no sale más/ LD 06/07/2023 / Examen 15/07/2023 / convocatoria PENDIENTE BATERÍA",,,,06/07/2023 ?,,,Test,15/7/2023,15/7/2023,,23,NA,,,,,NA,,,,,NA,,,,,,
TBS,Local,Andalucía,Sevilla,La Rinconada,Ayuntamiento de LA Rinconada,5,BOP DE 17/12/2022,BOP DE 17/12/2022,6/2/2023,concurso-oposición,no,88566,M177001,,,,,https://transparencia.larinconada.es/es/transparencia/indicadores-de-transparencia/indicador/Oferta-Publica-de-Empleo-del-Ayuntamiento-y-procesos-selectivos-para-puestos-no-estructurales/,,9/5/2024,Plantilla / LD y examen 13/02/2024,26/5/2023,boletín,https://transparencia.larinconada.es/export/sites/larinconada/es/transparencia/.galleries/IND-06-/BOP-listado-provisional-concurso-oposicion.pdf,26/12/2023,web,https://transparencia.larinconada.es/export/sites/larinconada/es/transparencia/.galleries/IND-06-/DECRETO-LISTADO-DEFINITIVO-Y-CONVOCATORIA-A-EJERCICIOS.pdf,test,13/2/2024,,,,Caso práctico,,,,,,,,,,,,,,,,
TBS,Local,Andalucía,Granada,Peligros,Ayuntamiento de Peligros,1,BOP de 22/11/2022,BOE nº 49 de 27/02/2023,6/3/2023,concurso-oposición,si,90025,M183980,,,LLAMAR ALUMNOS NO SALEN NOTAS 1º Y 2º EXAMEN,3,https://peligros.sedelectronica.es/board/9753e838-f59b-11de-b600-00237da12c6a/,,9/5/2024,Resultados finales y contratación 1 / 2º examen 07/03/2024 / LD y 1º examen 22/02/2024,24/4/2023,web,,9/11/2023,web,,Test ,22/2/2024,1/3/2024,,,Caso práctcio,7/3/2024,12/3/2024,,,NA,,,,,NA,,,,,,0
TBS,Autonómica,Aragón,,,Gobierno de Aragón,2,BOA DE 20/12/2022,BOA DE 20/12/2022,01/02/2023 - 28/02/2023,concurso-oposición,no,86669,M183340,,,,,https://www.aragon.es/-/trabajadores-sociales.-subgrupo-a2.-oposicion-turno-libre-de-estabilizacion-de-empleo-temporal-concurso-oposicion-.-oferta-de-empleo-publico-de-2022,,3/6/2024,convocatoria,,,,,,,test,,,,,desarrollo,,,,,Caso práctico,,,,,,,,,,,
TBS,Local,Madrid,Madrid,Móstoles,Ayuntamiento de Móstoles,9,BOCM de 04/08/2022,BOE Nº 60 DE 11/03/2023,13/03/2023 - 12/04/2023,concurso-oposición,si,90660,M186140,,,,,https://www.mostoles.es/SEDE_ELECTRONICA/es/informacion-administrativa/oferta-empleo-publico/trabajador-social-ab227,,13/6/2024,convocatoria,,,,,,,test,,,,,caso práctico,,,,,,,,,,,,,,,,
TBS,Autonómica,Canarias,,,Gobierno de Canarias,2,BOC 24/12/2022,BOC 24/12/2022,22/3/2023-26/04/2023,concurso-oposición,no,91400,M187441,,no,,,www.gobiernodecanarias.org/administracionespublicas/funcionpublica/acceso/convocatorias-en-curso/Proceso-de-Estabilizacion-de-Personal/personal-funcionario-larga-duracion/TRABAJADOR-SOCIAL-Estabilizacion-Larga-Duracion/,,10/5/2024,LD / LP /  Nombramiento tribunal /convocatoria,15/11/2023,boletín,http://www.gobiernodecanarias.org/boc/2023/224/018.html,12/1/2024,boletín,https://www.gobiernodecanarias.org/boc/2024/009/020.html,test,,,,,,,,,,,,,,,,,,,,,
TBS,Local,Extremadura,,,Junta de Extremadura,4,DOE de 28/12/2022,,01/02/2023 - 01/03/2023,concurso-oposicion,,87337,M178780,,,,,https://www.juntaex.es/temas/trabajo-y-empleo/empleo-publico/buscador-de-empleo-publico/-/convocatoria/1529,,10/6/2024,Plantilla examen 19/05/2024,15/11/2023,boletín,,,,https://www.juntaex.es/documents/77055/2996500/Listas_definitivas_de_admitidos_y_excluidos_164_Libre_Admitidos_20240325-080935.pdf/07654f8e-536b-e846-5ae1-71126224d3b2?version=1.0&t=1711354996681,test,19/5/2024,,,,,,,,,,,,,,,,,,,,
tbs,Local,Murcia,Murcia,Lorca,Ayuntamiento de Lorca,7,BORM de 22/12/2022,BOE nº 12 de 14/01/2023,16/2/2023,concurso-oposicion,,88027,M179840,,,,,https://www.lorca.es/empleo-publico/,https://www.lorca.es/empleo-publico/apartados.asp?opo=576,9/5/2024,Valoración de méritos y 4 de abril lecturas de los proyectos presentados / LD y valoración méritos el 26/02/2024,12/1/2024,,,9/2/2024,,https://www.lorca.es/oposicionesPDF/ACUERDO%20DE%20JGL%20DE%209%20DE%20FEBRERO%20DE%20%202024%20%20SOBRE%20LISTA%20DEFINITIVA%20DE%20ADMITIDOS%20Y%20EXCLUIDOS%20Y%20TRIBUNAL%20%20DE%20TRABAJADOR%20SOCIAL.pdf,memoria,04/04/2024 lectura,,,,,,,,,,,,,,,,,,,,
TBS ,Autonómica,Extremadura,,,Junta Extremadura,3,DOE de 28/12/2022,DOE de 28/12/2022,20/2/2023,concurso-oposicion,no,89582,M180602,,,,,https://www.juntaex.es/temas/trabajo-y-empleo/empleo-publico/buscador-de-empleo-publico/-/convocatoria/1512,,10/6/2024,LD y examen 22/06/2024,15/11/2023,boletín,,,,,test,22/6/2024,,,,,,,,,,,,,,,,,,,,
TBS,Local,C. Valenciana,Castellón,Almassora,Ayuntamiento de Almassora,2,BOP de 20/12/2022,BOE nº 25 de 30/01/2023,21/2/2023,concurso-oposicion,si,88734,M181261,,,,2,https://sede.almassora.es/es/articulos/empleo-publico,,3/6/2024,Notas / LD Y 1º EXAMEN 14/05/2024,23/11/2023,boletín,https://cdn.digitalvalue.es/almassora/assets2/655ef244537cc8b1627cc92d,9/4/2024,,,test,14/5/2024,28/5/2024,,0,practico,,,,,idiomas,,,,,,,,,,,
